hotel_nombre;consumo_energia_kwh;residuos_generados_kg;porcentaje_reciclaje;uso_agua_m3;fecha
Alletra Resort;2635;1010;922;4232;2019-12-17
GreenLake Digital Business Suites;1104;1678;922;4123;2019-12-17
Apollo Resort & Spa;3348;1364;681;3420;2019-12-17
Nimble Inn;3394;1858;546;4567;2019-12-17
Ezmeral Grand Hotel;1368;1780;727;4169;2019-12-17
Alletra Boutique Hotel;1853;1802;690;4192;2019-12-17
Simplivity Golden Plaza Hotel;1089;1300;650;4098;2019-12-17
Cray Villas;2096;1251;644;3442;2019-12-17
Apollo Diamond Suites;1556;1192;724;3436;2019-12-17
Apollo Towers;1880;1463;925;3424;2019-12-17
Alletra Diamond Grand Hotel;2301;1797;645;4781;2019-12-18
ProLiant Towers;2720;1140;883;4130;2019-12-18
Aruba Luxury Lodge;2549;1932;717;4923;2019-12-18
InfoSight Boutique Hotel;1106;1839;805;3286;2019-12-18
Primera Grand;2206;1034;923;3564;2019-12-18
dHCI Executive Boutique Hotel;3901;1553;735;3619;2019-12-18
ProLiant Haven;2719;1183;917;3513;2019-12-18
Apollo Executive Beach Resort;2617;1925;773;3533;2019-12-18
Aruba Lodge;2883;1428;899;3354;2019-12-18
Alletra Haven;1561;1799;766;3969;2019-12-18
dHCI Platinum Beach Resort;3493;1174;785;3712;2019-12-18
GreenLake Platinum Heritage Inn;2413;1949;853;3576;2019-12-18
Pointnext Signature Residences & Suites;3620;1736;709;3015;2019-12-18
ProLiant Place;2031;1275;820;4884;2019-12-18
Synergy Golden Grand Hotel;2379;1271;799;3002;2019-12-18
Alletra Resort;1652;1483;924;3842;2019-12-18
GreenLake Digital Business Suites;3075;1296;672;4363;2019-12-18
Apollo Resort & Spa;1071;1949;510;3780;2019-12-18
Nimble Inn;2947;1184;918;4994;2019-12-18
Ezmeral Grand Hotel;1571;1279;644;3067;2019-12-18
Alletra Boutique Hotel;1367;1881;709;3983;2019-12-18
Simplivity Golden Plaza Hotel;3912;1406;646;4182;2019-12-18
Cray Villas;2800;1941;539;3285;2019-12-18
Apollo Diamond Suites;3360;1217;930;4622;2019-12-18
Apollo Towers;1077;1721;685;4858;2019-12-18
Alletra Diamond Grand Hotel;3421;1557;787;3925;2019-12-19
ProLiant Towers;2289;1534;535;4206;2019-12-19
Aruba Luxury Lodge;1384;1363;661;3837;2019-12-19
InfoSight Boutique Hotel;2077;1703;711;3101;2019-12-19
Primera Grand;3773;1220;533;4450;2019-12-19
dHCI Executive Boutique Hotel;1318;1940;843;4747;2019-12-19
ProLiant Haven;1051;1743;819;4309;2019-12-19
Apollo Executive Beach Resort;1592;1070;671;3155;2019-12-19
Aruba Lodge;3016;1881;778;4478;2019-12-19
Alletra Haven;1243;1345;795;3353;2019-12-19
dHCI Platinum Beach Resort;3371;1458;502;3158;2019-12-19
GreenLake Platinum Heritage Inn;1724;1794;944;4271;2019-12-19
Pointnext Signature Residences & Suites;2408;1711;574;4845;2019-12-19
ProLiant Place;1409;1615;883;4851;2019-12-19
Synergy Golden Grand Hotel;1438;1417;559;4327;2019-12-19
Alletra Resort;1279;1750;827;3987;2019-12-19
GreenLake Digital Business Suites;3720;1084;736;3789;2019-12-19
Apollo Resort & Spa;2098;1050;735;3638;2019-12-19
Nimble Inn;2050;1708;543;4117;2019-12-19
Ezmeral Grand Hotel;2014;1807;892;4579;2019-12-19
Alletra Boutique Hotel;2212;1571;809;4633;2019-12-19
Simplivity Golden Plaza Hotel;3418;1325;943;3972;2019-12-19
Cray Villas;3122;1435;742;4065;2019-12-19
Apollo Diamond Suites;1660;1681;732;3524;2019-12-19
Apollo Towers;3735;1509;903;4938;2019-12-19
Alletra Diamond Grand Hotel;1804;1451;935;4549;2019-12-20
ProLiant Towers;3547;1011;578;4270;2019-12-20
Aruba Luxury Lodge;1812;1657;830;3452;2019-12-20
InfoSight Boutique Hotel;3496;1141;763;4184;2019-12-20
Primera Grand;1215;1966;949;4580;2019-12-20
dHCI Executive Boutique Hotel;2983;1512;537;4480;2019-12-20
ProLiant Haven;2360;1032;671;4989;2019-12-20
Apollo Executive Beach Resort;1099;1475;773;4214;2019-12-20
Aruba Lodge;3224;1690;655;4590;2019-12-20
Alletra Haven;1903;1284;686;4194;2019-12-20
dHCI Platinum Beach Resort;2608;1345;695;4349;2019-12-20
GreenLake Platinum Heritage Inn;1157;1599;789;4051;2019-12-20
Pointnext Signature Residences & Suites;1263;1973;567;4249;2019-12-20
ProLiant Place;2519;1225;678;3060;2019-12-20
Synergy Golden Grand Hotel;1451;1057;904;4492;2019-12-20
Alletra Resort;3673;1054;592;3999;2019-12-20
GreenLake Digital Business Suites;2188;1120;939;3088;2019-12-20
Apollo Resort & Spa;3834;1422;572;4086;2019-12-20
Nimble Inn;3810;1740;902;3142;2019-12-20
Ezmeral Grand Hotel;1255;1868;638;3993;2019-12-20
Alletra Boutique Hotel;3342;1211;888;3654;2019-12-20
Simplivity Golden Plaza Hotel;2379;1335;815;4737;2019-12-20
Cray Villas;3206;1473;710;3129;2019-12-20
Apollo Diamond Suites;3329;1794;931;3034;2019-12-20
Apollo Towers;3537;1223;813;3551;2019-12-20
Alletra Diamond Grand Hotel;2471;1416;681;4527;2019-12-21
ProLiant Towers;1296;1304;812;3169;2019-12-21
Aruba Luxury Lodge;1246;1974;729;4609;2019-12-21
InfoSight Boutique Hotel;1210;1503;823;3104;2019-12-21
Primera Grand;2183;1126;754;4047;2019-12-21
dHCI Executive Boutique Hotel;2229;1437;643;3261;2019-12-21
ProLiant Haven;3605;1564;670;4743;2019-12-21
Apollo Executive Beach Resort;2829;1394;604;3695;2019-12-21
Aruba Lodge;1512;1123;616;4856;2019-12-21
Alletra Haven;2870;1800;512;4690;2019-12-21
dHCI Platinum Beach Resort;1845;1581;776;4172;2019-12-21
GreenLake Platinum Heritage Inn;1713;1978;830;3156;2019-12-21
Pointnext Signature Residences & Suites;2010;1084;806;3337;2019-12-21
ProLiant Place;1325;1917;519;3144;2019-12-21
Synergy Golden Grand Hotel;2969;1715;733;3005;2019-12-21
Alletra Resort;2658;1773;885;3235;2019-12-21
GreenLake Digital Business Suites;1867;1148;625;3429;2019-12-21
Apollo Resort & Spa;2645;1611;670;3458;2019-12-21
Nimble Inn;1016;1392;617;4444;2019-12-21
Ezmeral Grand Hotel;3885;1344;721;3554;2019-12-21
Alletra Boutique Hotel;1007;1694;755;4387;2019-12-21
Simplivity Golden Plaza Hotel;3682;1145;898;3526;2019-12-21
Cray Villas;2360;1651;764;3555;2019-12-21
Apollo Diamond Suites;2838;1668;698;3155;2019-12-21
Apollo Towers;3085;1723;567;4784;2019-12-21
Alletra Diamond Grand Hotel;2420;1004;505;4491;2019-12-22
ProLiant Towers;2352;1194;752;4458;2019-12-22
Aruba Luxury Lodge;1327;1901;558;3039;2019-12-22
InfoSight Boutique Hotel;2275;1928;677;3655;2019-12-22
Primera Grand;1475;1145;654;4681;2019-12-22
dHCI Executive Boutique Hotel;1914;1247;624;3942;2019-12-22
ProLiant Haven;3292;1610;803;4741;2019-12-22
Apollo Executive Beach Resort;4000;1495;882;4177;2019-12-22
Aruba Lodge;3943;1489;945;3575;2019-12-22
Alletra Haven;2624;1610;835;4539;2019-12-22
dHCI Platinum Beach Resort;1022;1582;664;4242;2019-12-22
GreenLake Platinum Heritage Inn;1298;1268;666;4283;2019-12-22
Pointnext Signature Residences & Suites;2855;1659;688;4589;2019-12-22
ProLiant Place;1337;1377;723;3743;2019-12-22
Synergy Golden Grand Hotel;2171;1736;778;3674;2019-12-22
Alletra Resort;2378;1386;720;3427;2019-12-22
GreenLake Digital Business Suites;2686;1280;606;3393;2019-12-22
Apollo Resort & Spa;2612;1824;915;3948;2019-12-22
Nimble Inn;1508;1035;847;3700;2019-12-22
Ezmeral Grand Hotel;3217;1673;527;4473;2019-12-22
Alletra Boutique Hotel;2784;1128;753;4451;2019-12-22
Simplivity Golden Plaza Hotel;3414;1732;566;3264;2019-12-22
Cray Villas;1810;1367;521;4516;2019-12-22
Apollo Diamond Suites;1993;1002;658;3571;2019-12-22
Apollo Towers;2621;1725;924;3419;2019-12-22
Alletra Diamond Grand Hotel;1546;1026;767;3983;2019-12-23
ProLiant Towers;2382;1638;924;3942;2019-12-23
Aruba Luxury Lodge;1247;1849;833;3164;2019-12-23
InfoSight Boutique Hotel;1113;1430;774;4364;2019-12-23
Primera Grand;2853;1348;593;4243;2019-12-23
dHCI Executive Boutique Hotel;1864;1729;752;3853;2019-12-23
ProLiant Haven;3930;1525;570;3795;2019-12-23
Apollo Executive Beach Resort;2928;1470;674;3317;2019-12-23
Aruba Lodge;3974;1694;851;3696;2019-12-23
Alletra Haven;1413;1920;684;4637;2019-12-23
dHCI Platinum Beach Resort;3534;1088;790;3873;2019-12-23
GreenLake Platinum Heritage Inn;1939;1910;839;3299;2019-12-23
Pointnext Signature Residences & Suites;3547;1480;670;4026;2019-12-23
ProLiant Place;2247;1243;655;4344;2019-12-23
Synergy Golden Grand Hotel;3291;1524;915;3712;2019-12-23
Alletra Resort;1559;1119;704;3771;2019-12-23
GreenLake Digital Business Suites;1390;1259;740;4238;2019-12-23
Apollo Resort & Spa;2051;1101;842;4836;2019-12-23
Nimble Inn;2118;1456;593;4852;2019-12-23
Ezmeral Grand Hotel;1757;1437;767;4449;2019-12-23
Alletra Boutique Hotel;1479;1161;599;4526;2019-12-23
Simplivity Golden Plaza Hotel;3627;1966;583;4004;2019-12-23
Cray Villas;1537;1409;819;4176;2019-12-23
Apollo Diamond Suites;3510;1547;653;3133;2019-12-23
Apollo Towers;1838;1867;668;4444;2019-12-23
Alletra Diamond Grand Hotel;2024;1205;924;3869;2019-12-24
ProLiant Towers;1448;1700;708;3642;2019-12-24
Aruba Luxury Lodge;1020;1445;557;3882;2019-12-24
InfoSight Boutique Hotel;1788;1609;857;3941;2019-12-24
Primera Grand;1309;1002;931;4422;2019-12-24
dHCI Executive Boutique Hotel;3731;1697;838;4332;2019-12-24
ProLiant Haven;3403;1017;752;3139;2019-12-24
Apollo Executive Beach Resort;2777;1425;914;4286;2019-12-24
Aruba Lodge;1521;1133;574;4469;2019-12-24
Alletra Haven;3074;1808;773;4256;2019-12-24
dHCI Platinum Beach Resort;1788;1589;573;3918;2019-12-24
GreenLake Platinum Heritage Inn;2421;1652;786;3720;2019-12-24
Pointnext Signature Residences & Suites;3919;1253;851;4773;2019-12-24
ProLiant Place;1461;1282;599;4324;2019-12-24
Synergy Golden Grand Hotel;3720;1514;587;3181;2019-12-24
Alletra Resort;3621;1338;513;3122;2019-12-24
GreenLake Digital Business Suites;3765;1311;558;4730;2019-12-24
Apollo Resort & Spa;2415;1293;864;4528;2019-12-24
Nimble Inn;2539;1646;874;4074;2019-12-24
Ezmeral Grand Hotel;3876;1487;842;4721;2019-12-24
Alletra Boutique Hotel;2549;1256;889;4922;2019-12-24
Simplivity Golden Plaza Hotel;2981;1337;855;3484;2019-12-24
Cray Villas;2242;1874;864;3967;2019-12-24
Apollo Diamond Suites;1413;1212;603;4024;2019-12-24
Apollo Towers;3123;1004;541;4080;2019-12-24
Alletra Diamond Grand Hotel;2942;1025;550;4663;2019-12-25
ProLiant Towers;2903;1166;906;3675;2019-12-25
Aruba Luxury Lodge;2155;1965;596;4144;2019-12-25
InfoSight Boutique Hotel;1201;1213;682;4297;2019-12-25
Primera Grand;1374;1127;678;4980;2019-12-25
dHCI Executive Boutique Hotel;2763;1171;867;4441;2019-12-25
ProLiant Haven;1278;1523;605;3759;2019-12-25
Apollo Executive Beach Resort;1029;1385;662;4827;2019-12-25
Aruba Lodge;3930;1130;697;4171;2019-12-25
Alletra Haven;2870;1154;941;3999;2019-12-25
dHCI Platinum Beach Resort;1974;1129;762;3447;2019-12-25
GreenLake Platinum Heritage Inn;1900;1356;579;3582;2019-12-25
Pointnext Signature Residences & Suites;3954;1838;511;4654;2019-12-25
ProLiant Place;3039;1914;694;4689;2019-12-25
Synergy Golden Grand Hotel;1271;1009;647;3268;2019-12-25
Alletra Resort;2881;1841;939;4197;2019-12-25
GreenLake Digital Business Suites;1157;1807;848;4565;2019-12-25
Apollo Resort & Spa;3344;1243;857;4640;2019-12-25
Nimble Inn;1367;1643;514;4157;2019-12-25
Ezmeral Grand Hotel;1235;1479;575;3612;2019-12-25
Alletra Boutique Hotel;2034;1054;825;3615;2019-12-25
Simplivity Golden Plaza Hotel;2789;1245;805;4016;2019-12-25
Cray Villas;1381;1055;720;4552;2019-12-25
Apollo Diamond Suites;2672;1854;738;3874;2019-12-25
Apollo Towers;2173;1540;938;3253;2019-12-25
Alletra Diamond Grand Hotel;1108;1363;874;4137;2019-12-26
ProLiant Towers;3432;1460;742;3947;2019-12-26
Aruba Luxury Lodge;3175;1777;914;3957;2019-12-26
InfoSight Boutique Hotel;3301;1929;598;4798;2019-12-26
Primera Grand;3662;1397;635;4243;2019-12-26
dHCI Executive Boutique Hotel;1272;1160;915;4828;2019-12-26
ProLiant Haven;1975;1932;797;4324;2019-12-26
Apollo Executive Beach Resort;1830;1834;892;3291;2019-12-26
Aruba Lodge;1129;1222;721;4345;2019-12-26
Alletra Haven;3409;1319;847;4478;2019-12-26
dHCI Platinum Beach Resort;1957;1179;653;4739;2019-12-26
GreenLake Platinum Heritage Inn;3767;1782;822;4469;2019-12-26
Pointnext Signature Residences & Suites;3664;1121;623;3897;2019-12-26
ProLiant Place;3309;1818;930;3133;2019-12-26
Synergy Golden Grand Hotel;2374;1412;918;4605;2019-12-26
Alletra Resort;2841;1624;550;4691;2019-12-26
GreenLake Digital Business Suites;3872;1363;572;3029;2019-12-26
Apollo Resort & Spa;1874;1097;655;4082;2019-12-26
Nimble Inn;3519;1212;780;3530;2019-12-26
Ezmeral Grand Hotel;1288;1384;945;4581;2019-12-26
Alletra Boutique Hotel;1616;1890;508;3676;2019-12-26
Simplivity Golden Plaza Hotel;1554;1918;695;4590;2019-12-26
Cray Villas;2891;1980;891;4788;2019-12-26
Apollo Diamond Suites;2106;1493;763;3271;2019-12-26
Apollo Towers;1470;1488;544;3462;2019-12-26
Alletra Diamond Grand Hotel;1264;1315;880;3768;2019-12-27
ProLiant Towers;1766;1088;649;3033;2019-12-27
Aruba Luxury Lodge;1329;1567;615;4960;2019-12-27
InfoSight Boutique Hotel;1808;1596;756;4686;2019-12-27
Primera Grand;1250;1059;670;3394;2019-12-27
dHCI Executive Boutique Hotel;1244;1628;943;3131;2019-12-27
ProLiant Haven;3074;1926;835;4178;2019-12-27
Apollo Executive Beach Resort;2863;1855;825;4971;2019-12-27
Aruba Lodge;1997;1847;854;4625;2019-12-27
Alletra Haven;1046;1008;543;4533;2019-12-27
dHCI Platinum Beach Resort;2364;1282;850;3789;2019-12-27
GreenLake Platinum Heritage Inn;1781;1922;880;4959;2019-12-27
Pointnext Signature Residences & Suites;3570;1947;714;4238;2019-12-27
ProLiant Place;2479;1486;742;3551;2019-12-27
Synergy Golden Grand Hotel;2893;1154;825;4759;2019-12-27
Alletra Resort;2341;1529;948;4095;2019-12-27
GreenLake Digital Business Suites;3614;1291;915;3625;2019-12-27
Apollo Resort & Spa;2674;1582;561;3308;2019-12-27
Nimble Inn;2240;1958;866;4700;2019-12-27
Ezmeral Grand Hotel;1176;1899;902;4354;2019-12-27
Alletra Boutique Hotel;3309;1828;672;3869;2019-12-27
Simplivity Golden Plaza Hotel;3278;1321;764;4207;2019-12-27
Cray Villas;3711;1880;541;4025;2019-12-27
Apollo Diamond Suites;3179;1953;681;3124;2019-12-27
Apollo Towers;3846;1149;932;3642;2019-12-27
Alletra Diamond Grand Hotel;3372;1683;551;4612;2019-12-28
ProLiant Towers;2816;1327;584;4227;2019-12-28
Aruba Luxury Lodge;3846;1857;836;4645;2019-12-28
InfoSight Boutique Hotel;3098;1888;514;4378;2019-12-28
Primera Grand;3232;1038;546;3013;2019-12-28
dHCI Executive Boutique Hotel;1799;1287;878;4170;2019-12-28
ProLiant Haven;3091;1727;605;3798;2019-12-28
Apollo Executive Beach Resort;3777;1931;509;3362;2019-12-28
Aruba Lodge;1249;1485;523;3431;2019-12-28
Alletra Haven;2096;1511;744;4775;2019-12-28
dHCI Platinum Beach Resort;1461;1463;582;4737;2019-12-28
GreenLake Platinum Heritage Inn;1355;1888;562;3203;2019-12-28
Pointnext Signature Residences & Suites;1341;1046;734;3307;2019-12-28
ProLiant Place;3415;1757;563;4080;2019-12-28
Synergy Golden Grand Hotel;2465;1522;912;3065;2019-12-28
Alletra Resort;3243;1864;892;4273;2019-12-28
GreenLake Digital Business Suites;1718;1056;837;3777;2019-12-28
Apollo Resort & Spa;1269;1311;864;4787;2019-12-28
Nimble Inn;1597;1196;805;3793;2019-12-28
Ezmeral Grand Hotel;1105;1031;612;3188;2019-12-28
Alletra Boutique Hotel;1088;1264;635;4142;2019-12-28
Simplivity Golden Plaza Hotel;2965;1949;766;4812;2019-12-28
Cray Villas;1372;1434;702;3870;2019-12-28
Apollo Diamond Suites;3327;1808;861;3403;2019-12-28
Apollo Towers;2860;1390;674;3211;2019-12-28
Alletra Diamond Grand Hotel;3054;1610;666;4236;2019-12-29
ProLiant Towers;3055;1688;674;3097;2019-12-29
Aruba Luxury Lodge;2002;1874;617;3903;2019-12-29
InfoSight Boutique Hotel;3384;1848;546;4172;2019-12-29
Primera Grand;3191;1435;738;4287;2019-12-29
dHCI Executive Boutique Hotel;2662;1679;785;3016;2019-12-29
ProLiant Haven;1097;1469;866;4161;2019-12-29
Apollo Executive Beach Resort;2877;1274;537;4946;2019-12-29
Aruba Lodge;3808;1940;574;3408;2019-12-29
Alletra Haven;1897;1169;738;4981;2019-12-29
dHCI Platinum Beach Resort;3948;1776;890;4656;2019-12-29
GreenLake Platinum Heritage Inn;1192;1259;637;3765;2019-12-29
Pointnext Signature Residences & Suites;1656;1711;933;3130;2019-12-29
ProLiant Place;1360;1299;647;4403;2019-12-29
Synergy Golden Grand Hotel;2294;1458;787;4847;2019-12-29
Alletra Resort;3701;1203;949;4260;2019-12-29
GreenLake Digital Business Suites;3055;1625;546;3435;2019-12-29
Apollo Resort & Spa;1461;1241;803;4614;2019-12-29
Nimble Inn;2677;1070;786;4480;2019-12-29
Ezmeral Grand Hotel;1096;1082;628;4153;2019-12-29
Alletra Boutique Hotel;3594;1054;893;4370;2019-12-29
Simplivity Golden Plaza Hotel;2222;1340;708;3142;2019-12-29
Cray Villas;2456;1918;677;4713;2019-12-29
Apollo Diamond Suites;2384;1868;910;3008;2019-12-29
Apollo Towers;1296;1455;759;4868;2019-12-29
Alletra Diamond Grand Hotel;3433;1876;573;3123;2019-12-30
ProLiant Towers;3675;1574;538;4153;2019-12-30
Aruba Luxury Lodge;1462;1855;809;3515;2019-12-30
InfoSight Boutique Hotel;1671;1569;839;3524;2019-12-30
Primera Grand;2172;1942;787;3844;2019-12-30
dHCI Executive Boutique Hotel;2272;1390;510;4830;2019-12-30
ProLiant Haven;1998;1165;568;3133;2019-12-30
Apollo Executive Beach Resort;1651;1595;540;4709;2019-12-30
Aruba Lodge;2173;1808;816;4036;2019-12-30
Alletra Haven;3815;1038;724;4606;2019-12-30
dHCI Platinum Beach Resort;1372;1991;540;4599;2019-12-30
GreenLake Platinum Heritage Inn;2710;1817;787;4822;2019-12-30
Pointnext Signature Residences & Suites;1603;1719;601;3405;2019-12-30
ProLiant Place;2500;1843;824;4719;2019-12-30
Synergy Golden Grand Hotel;1944;1228;553;3061;2019-12-30
Alletra Resort;2236;1732;505;4616;2019-12-30
GreenLake Digital Business Suites;1699;1864;919;4573;2019-12-30
Apollo Resort & Spa;3477;1629;777;3509;2019-12-30
Nimble Inn;2451;1069;837;3400;2019-12-30
Ezmeral Grand Hotel;2215;1158;889;3175;2019-12-30
Alletra Boutique Hotel;2074;1339;555;3674;2019-12-30
Simplivity Golden Plaza Hotel;1579;1716;839;4663;2019-12-30
Cray Villas;1921;1838;656;3235;2019-12-30
Apollo Diamond Suites;1726;1331;752;4901;2019-12-30
Apollo Towers;3517;1057;863;3610;2019-12-30
Alletra Diamond Grand Hotel;2076;1688;510;3590;2019-12-31
ProLiant Towers;1301;1120;645;4827;2019-12-31
Aruba Luxury Lodge;1197;1138;942;3413;2019-12-31
InfoSight Boutique Hotel;2367;1002;818;3642;2019-12-31
Primera Grand;2205;1701;776;3693;2019-12-31
dHCI Executive Boutique Hotel;2520;1504;739;4264;2019-12-31
ProLiant Haven;2076;1849;872;4198;2019-12-31
Apollo Executive Beach Resort;2230;1002;900;3050;2019-12-31
Aruba Lodge;1162;1384;745;3120;2019-12-31
Alletra Haven;2481;1230;876;3962;2019-12-31
dHCI Platinum Beach Resort;1427;1218;710;3996;2019-12-31
GreenLake Platinum Heritage Inn;2143;1696;790;4675;2019-12-31
Pointnext Signature Residences & Suites;1298;1531;511;4015;2019-12-31
ProLiant Place;1195;1446;669;4771;2019-12-31
Synergy Golden Grand Hotel;1112;1022;643;4721;2019-12-31
Alletra Resort;3618;1789;726;3803;2019-12-31
GreenLake Digital Business Suites;3774;1995;907;4449;2019-12-31
Apollo Resort & Spa;1153;1824;932;3899;2019-12-31
Nimble Inn;2117;1795;573;4689;2019-12-31
Ezmeral Grand Hotel;1349;1296;694;4956;2019-12-31
Alletra Boutique Hotel;1633;1468;615;3475;2019-12-31
Simplivity Golden Plaza Hotel;3953;1390;556;4372;2019-12-31
Cray Villas;1243;1197;747;3118;2019-12-31
Apollo Diamond Suites;2484;1425;785;4466;2019-12-31
Apollo Towers;1578;1063;587;3970;2019-12-31
Alletra Diamond Grand Hotel;1901;1459;517;3628;2020-01-01
ProLiant Towers;2918;1560;839;3194;2020-01-01
Aruba Luxury Lodge;1657;1084;759;4915;2020-01-01
InfoSight Boutique Hotel;2633;1571;894;4887;2020-01-01
Primera Grand;1804;1933;908;3559;2020-01-01
dHCI Executive Boutique Hotel;2075;1168;540;4033;2020-01-01
ProLiant Haven;1975;1611;898;3511;2020-01-01
Apollo Executive Beach Resort;3050;1879;742;4862;2020-01-01
Aruba Lodge;3160;1822;759;4266;2020-01-01
Alletra Haven;3149;1415;921;4458;2020-01-01
dHCI Platinum Beach Resort;3033;1373;878;4029;2020-01-01
GreenLake Platinum Heritage Inn;3005;1044;729;3104;2020-01-01
Pointnext Signature Residences & Suites;1774;1920;554;3797;2020-01-01
ProLiant Place;3826;1818;540;4917;2020-01-01
Synergy Golden Grand Hotel;3449;1973;749;3319;2020-01-01
Alletra Resort;3168;1251;874;3844;2020-01-01
GreenLake Digital Business Suites;1204;1438;515;4168;2020-01-01
Apollo Resort & Spa;2492;1697;784;4212;2020-01-01
Nimble Inn;2924;1703;714;4551;2020-01-01
Ezmeral Grand Hotel;2673;1630;577;3183;2020-01-01
Alletra Boutique Hotel;2027;1427;770;4627;2020-01-01
Simplivity Golden Plaza Hotel;3519;1576;660;4032;2020-01-01
Cray Villas;3512;1003;714;4545;2020-01-01
Apollo Diamond Suites;1050;1983;829;3505;2020-01-01
Apollo Towers;1713;1997;576;4797;2020-01-01
Alletra Diamond Grand Hotel;1690;1114;938;3386;2020-01-02
ProLiant Towers;3454;1438;759;3838;2020-01-02
Aruba Luxury Lodge;1840;1560;513;3137;2020-01-02
InfoSight Boutique Hotel;3987;1741;797;3945;2020-01-02
Primera Grand;3775;1859;947;4253;2020-01-02
dHCI Executive Boutique Hotel;2099;1723;701;4691;2020-01-02
ProLiant Haven;1533;1331;568;3598;2020-01-02
Apollo Executive Beach Resort;2653;1073;720;3702;2020-01-02
Aruba Lodge;3730;1365;510;3497;2020-01-02
Alletra Haven;3087;1716;846;3392;2020-01-02
dHCI Platinum Beach Resort;2751;1604;940;4101;2020-01-02
GreenLake Platinum Heritage Inn;3294;1362;796;3729;2020-01-02
Pointnext Signature Residences & Suites;2319;1354;729;4627;2020-01-02
ProLiant Place;3813;1627;522;4380;2020-01-02
Synergy Golden Grand Hotel;2882;1772;738;4764;2020-01-02
Alletra Resort;2804;1613;614;4460;2020-01-02
GreenLake Digital Business Suites;2914;1418;732;3208;2020-01-02
Apollo Resort & Spa;1677;1165;540;4849;2020-01-02
Nimble Inn;3251;1318;515;4620;2020-01-02
Ezmeral Grand Hotel;1091;1489;716;4483;2020-01-02
Alletra Boutique Hotel;3734;1918;785;4631;2020-01-02
Simplivity Golden Plaza Hotel;1834;1475;915;3413;2020-01-02
Cray Villas;2221;1705;815;3223;2020-01-02
Apollo Diamond Suites;2524;1398;600;4489;2020-01-02
Apollo Towers;3966;1036;786;4468;2020-01-02
Alletra Diamond Grand Hotel;3727;1281;618;4193;2020-01-03
ProLiant Towers;1062;1374;590;4577;2020-01-03
Aruba Luxury Lodge;3504;1687;925;3956;2020-01-03
InfoSight Boutique Hotel;2726;1010;808;3784;2020-01-03
Primera Grand;1124;1616;934;3749;2020-01-03
dHCI Executive Boutique Hotel;1424;1355;617;3646;2020-01-03
ProLiant Haven;3872;1285;891;5000;2020-01-03
Apollo Executive Beach Resort;3856;1962;872;3166;2020-01-03
Aruba Lodge;3011;1652;717;3450;2020-01-03
Alletra Haven;1984;1528;618;4609;2020-01-03
dHCI Platinum Beach Resort;3081;1848;868;4902;2020-01-03
GreenLake Platinum Heritage Inn;3571;1233;520;3959;2020-01-03
Pointnext Signature Residences & Suites;2957;1773;839;4391;2020-01-03
ProLiant Place;3963;1409;542;3990;2020-01-03
Synergy Golden Grand Hotel;2434;1318;925;3481;2020-01-03
Alletra Resort;2620;1542;912;4389;2020-01-03
GreenLake Digital Business Suites;3460;1090;706;4677;2020-01-03
Apollo Resort & Spa;3484;1645;525;4813;2020-01-03
Nimble Inn;3455;1423;878;3675;2020-01-03
Ezmeral Grand Hotel;3175;1420;786;3284;2020-01-03
Alletra Boutique Hotel;1455;1283;550;3958;2020-01-03
Simplivity Golden Plaza Hotel;1784;1614;596;4583;2020-01-03
Cray Villas;3200;1139;719;4379;2020-01-03
Apollo Diamond Suites;1388;1663;798;4324;2020-01-03
Apollo Towers;3974;1576;634;3989;2020-01-03
Alletra Diamond Grand Hotel;3849;1975;641;3634;2020-01-04
ProLiant Towers;1658;1428;773;3614;2020-01-04
Aruba Luxury Lodge;1808;1289;648;3100;2020-01-04
InfoSight Boutique Hotel;2185;1894;554;3849;2020-01-04
Primera Grand;2922;1709;615;4947;2020-01-04
dHCI Executive Boutique Hotel;3190;1499;675;4600;2020-01-04
ProLiant Haven;3855;1125;868;4918;2020-01-04
Apollo Executive Beach Resort;3826;1607;507;4459;2020-01-04
Aruba Lodge;2897;1302;781;4464;2020-01-04
Alletra Haven;3080;1996;678;4643;2020-01-04
dHCI Platinum Beach Resort;2643;1559;772;4201;2020-01-04
GreenLake Platinum Heritage Inn;3747;1853;812;3240;2020-01-04
Pointnext Signature Residences & Suites;3766;1348;696;4311;2020-01-04
ProLiant Place;3585;1843;536;4771;2020-01-04
Synergy Golden Grand Hotel;3809;1634;676;3545;2020-01-04
Alletra Resort;1445;1278;863;3394;2020-01-04
GreenLake Digital Business Suites;1949;1138;791;4606;2020-01-04
Apollo Resort & Spa;2883;1626;604;4402;2020-01-04
Nimble Inn;2687;1567;748;4654;2020-01-04
Ezmeral Grand Hotel;3455;1187;633;3175;2020-01-04
Alletra Boutique Hotel;1147;1401;671;4068;2020-01-04
Simplivity Golden Plaza Hotel;1767;1608;802;4553;2020-01-04
Cray Villas;2697;1573;880;3140;2020-01-04
Apollo Diamond Suites;2035;1270;523;3267;2020-01-04
Apollo Towers;1186;1838;874;3102;2020-01-04
Alletra Diamond Grand Hotel;3593;1306;661;4499;2020-01-05
ProLiant Towers;2016;1124;886;3154;2020-01-05
Aruba Luxury Lodge;2824;1542;889;4632;2020-01-05
InfoSight Boutique Hotel;3263;1377;862;3044;2020-01-05
Primera Grand;3458;1015;714;3255;2020-01-05
