hotel_nombre;fecha;tasa_ocupacion;reservas_confirmadas;cancelaciones;precio_promedio_noche
Aruba Luxury Lodge;02/06/2020;79;163;24;16577
InfoSight Boutique Hotel;02/06/2020;89;341;48;21618
Primera Grand;02/06/2020;89;439;61;20541
dHCI Executive Boutique Hotel;02/06/2020;85;347;40;29446
ProLiant Haven;02/06/2020;82;304;42;16764
Apollo Executive Beach Resort;02/06/2020;86;417;83;30769
Aruba Lodge;02/06/2020;73;340;49;1654
Alletra Haven;02/06/2020;91;307;33;17255
dHCI Platinum Beach Resort;02/06/2020;91;204;31;1426
GreenLake Platinum Heritage Inn;02/06/2020;74;212;22;14074
Pointnext Signature Residences & Suites;02/06/2020;80;284;31;16484
ProLiant Place;02/06/2020;84;221;17;16186
Synergy Golden Grand Hotel;02/06/2020;85;178;22;27354
Alletra Resort;02/06/2020;89;285;55;22829
GreenLake Digital Business Suites;02/06/2020;95;442;57;29956
Apollo Resort & Spa;02/06/2020;93;260;15;21465
Nimble Inn;02/06/2020;72;156;23;18033
Ezmeral Grand Hotel;02/06/2020;94;211;32;19158
Alletra Boutique Hotel;02/06/2020;84;220;31;20163
Simplivity Golden Plaza Hotel;02/06/2020;81;328;30;16355
Cray Villas;02/06/2020;70;211;24;1293
Apollo Diamond Suites;02/06/2020;71;340;51;26276
Apollo Towers;02/06/2020;94;228;22;2219
Alletra Diamond Grand Hotel;03/06/2020;87;414;54;23761
ProLiant Towers;03/06/2020;80;291;41;22726
Aruba Luxury Lodge;03/06/2020;80;368;34;17094
InfoSight Boutique Hotel;03/06/2020;75;192;17;16648
Primera Grand;03/06/2020;80;200;13;1853
dHCI Executive Boutique Hotel;03/06/2020;87;287;32;24883
ProLiant Haven;03/06/2020;94;189;27;24029
Apollo Executive Beach Resort;03/06/2020;87;185;16;25067
Aruba Lodge;03/06/2020;93;389;67;25176
Alletra Haven;03/06/2020;80;189;36;24922
dHCI Platinum Beach Resort;03/06/2020;79;158;26;21722
GreenLake Platinum Heritage Inn;03/06/2020;70;279;43;21443
Pointnext Signature Residences & Suites;03/06/2020;85;330;51;29995
ProLiant Place;03/06/2020;92;294;24;21829
Synergy Golden Grand Hotel;03/06/2020;72;336;25;18132
Alletra Resort;03/06/2020;84;202;31;24981
GreenLake Digital Business Suites;03/06/2020;92;342;61;19451
Apollo Resort & Spa;03/06/2020;76;288;45;12799
Nimble Inn;03/06/2020;79;187;10;27979
Ezmeral Grand Hotel;03/06/2020;84;239;34;15722
Alletra Boutique Hotel;03/06/2020;91;246;33;26873
Simplivity Golden Plaza Hotel;03/06/2020;93;410;45;26415
Cray Villas;03/06/2020;94;364;42;29685
Apollo Diamond Suites;03/06/2020;83;291;22;22735
Apollo Towers;03/06/2020;87;343;22;16352
Alletra Diamond Grand Hotel;04/06/2020;95;469;50;16836
ProLiant Towers;04/06/2020;78;362;60;21176
Aruba Luxury Lodge;04/06/2020;89;392;19;14043
InfoSight Boutique Hotel;04/06/2020;94;425;58;14688
Primera Grand;04/06/2020;83;333;34;2847
dHCI Executive Boutique Hotel;04/06/2020;91;268;16;22639
ProLiant Haven;04/06/2020;90;237;16;14988
Apollo Executive Beach Resort;04/06/2020;91;412;75;18454
Aruba Lodge;04/06/2020;89;304;39;14815
Alletra Haven;04/06/2020;90;243;39;30579
dHCI Platinum Beach Resort;04/06/2020;87;294;48;17151
GreenLake Platinum Heritage Inn;04/06/2020;72;250;13;13854
Pointnext Signature Residences & Suites;04/06/2020;77;209;11;15775
ProLiant Place;04/06/2020;75;225;24;26191
Synergy Golden Grand Hotel;04/06/2020;83;233;38;28509
Alletra Resort;04/06/2020;72;185;34;13207
GreenLake Digital Business Suites;04/06/2020;73;224;31;19646
Apollo Resort & Spa;04/06/2020;89;255;33;27955
Nimble Inn;04/06/2020;79;195;21;19731
Ezmeral Grand Hotel;04/06/2020;72;223;40;12454
Alletra Boutique Hotel;04/06/2020;89;185;14;31045
Simplivity Golden Plaza Hotel;04/06/2020;79;321;21;14102
Cray Villas;04/06/2020;82;321;25;26645
Apollo Diamond Suites;04/06/2020;82;270;17;19775
Apollo Towers;04/06/2020;83;385;60;18756
Alletra Diamond Grand Hotel;05/06/2020;93;444;43;17718
ProLiant Towers;05/06/2020;94;368;30;30969
Aruba Luxury Lodge;05/06/2020;91;241;23;26111
InfoSight Boutique Hotel;05/06/2020;93;238;37;22611
Primera Grand;05/06/2020;89;329;51;2451
dHCI Executive Boutique Hotel;05/06/2020;83;254;29;18534
ProLiant Haven;05/06/2020;77;384;31;15415
Apollo Executive Beach Resort;05/06/2020;91;347;17;26537
Aruba Lodge;05/06/2020;79;159;18;14296
Alletra Haven;05/06/2020;76;363;69;23819
dHCI Platinum Beach Resort;05/06/2020;72;213;11;16638
GreenLake Platinum Heritage Inn;05/06/2020;84;294;15;29302
Pointnext Signature Residences & Suites;05/06/2020;80;163;17;15268
ProLiant Place;05/06/2020;90;185;14;18848
Synergy Golden Grand Hotel;05/06/2020;73;201;36;22166
Alletra Resort;05/06/2020;74;232;32;18274
GreenLake Digital Business Suites;05/06/2020;83;398;29;28781
Apollo Resort & Spa;05/06/2020;93;206;38;21856
Nimble Inn;05/06/2020;78;316;60;15962
Ezmeral Grand Hotel;05/06/2020;85;276;40;26553
Alletra Boutique Hotel;05/06/2020;89;433;52;19343
Simplivity Golden Plaza Hotel;05/06/2020;85;330;62;20069
Cray Villas;05/06/2020;86;277;21;28948
Apollo Diamond Suites;05/06/2020;72;293;23;14109
Apollo Towers;05/06/2020;89;384;61;30703
Alletra Diamond Grand Hotel;06/06/2020;94;416;72;14422
ProLiant Towers;06/06/2020;100;399;48;27061
Aruba Luxury Lodge;06/06/2020;88;254;35;24766
InfoSight Boutique Hotel;06/06/2020;97;228;36;21581
Primera Grand;06/06/2020;84;354;59;22551
dHCI Executive Boutique Hotel;06/06/2020;98;482;34;15373
ProLiant Haven;06/06/2020;96;445;78;33237
Apollo Executive Beach Resort;06/06/2020;98;288;31;20814
Aruba Lodge;06/06/2020;77;284;30;13777
Alletra Haven;06/06/2020;95;238;43;17502
dHCI Platinum Beach Resort;06/06/2020;92;329;18;24268
GreenLake Platinum Heritage Inn;06/06/2020;85;278;14;14432
Pointnext Signature Residences & Suites;06/06/2020;100;285;46;24653
ProLiant Place;06/06/2020;99;221;12;24181
Synergy Golden Grand Hotel;06/06/2020;85;205;17;22479
Alletra Resort;06/06/2020;96;357;35;31346
GreenLake Digital Business Suites;06/06/2020;88;212;30;31075
Apollo Resort & Spa;06/06/2020;83;203;16;26404
Nimble Inn;06/06/2020;87;366;26;17603
Ezmeral Grand Hotel;06/06/2020;100;402;24;28975
Alletra Boutique Hotel;06/06/2020;92;395;56;23347
Simplivity Golden Plaza Hotel;06/06/2020;100;475;41;31474
Cray Villas;06/06/2020;98;242;32;23968
Apollo Diamond Suites;06/06/2020;97;433;37;14849
Apollo Towers;06/06/2020;96;244;33;21957
Alletra Diamond Grand Hotel;07/06/2020;100;298;28;28726
ProLiant Towers;07/06/2020;100;313;37;18959
Aruba Luxury Lodge;07/06/2020;89;396;42;1505
InfoSight Boutique Hotel;07/06/2020;100;492;65;20975
Primera Grand;07/06/2020;100;387;53;29061
dHCI Executive Boutique Hotel;07/06/2020;79;199;27;1415
ProLiant Haven;07/06/2020;81;346;44;16949
Apollo Executive Beach Resort;07/06/2020;98;367;73;32409
Aruba Lodge;07/06/2020;100;234;46;29015
Alletra Haven;07/06/2020;100;377;32;1890
dHCI Platinum Beach Resort;07/06/2020;100;498;99;30061
GreenLake Platinum Heritage Inn;07/06/2020;92;448;25;19394
Pointnext Signature Residences & Suites;07/06/2020;84;279;48;23322
ProLiant Place;07/06/2020;100;466;90;17842
Synergy Golden Grand Hotel;07/06/2020;95;468;69;28982
Alletra Resort;07/06/2020;84;189;20;1698
GreenLake Digital Business Suites;07/06/2020;100;442;40;16164
Apollo Resort & Spa;07/06/2020;100;430;84;17293
Nimble Inn;07/06/2020;100;328;22;25119
Ezmeral Grand Hotel;07/06/2020;88;179;33;19434
Alletra Boutique Hotel;07/06/2020;100;288;16;24517
Simplivity Golden Plaza Hotel;07/06/2020;82;265;42;23056
Cray Villas;07/06/2020;83;198;37;26515
Apollo Diamond Suites;07/06/2020;89;271;46;1807
Apollo Towers;07/06/2020;98;217;36;22863
Alletra Diamond Grand Hotel;08/06/2020;95;411;64;2230
ProLiant Towers;08/06/2020;86;242;29;27757
Aruba Luxury Lodge;08/06/2020;75;304;43;24385
InfoSight Boutique Hotel;08/06/2020;73;315;57;24448
Primera Grand;08/06/2020;90;207;20;27903
dHCI Executive Boutique Hotel;08/06/2020;91;417;63;29371
ProLiant Haven;08/06/2020;87;269;16;15801
Apollo Executive Beach Resort;08/06/2020;71;161;17;13969
Aruba Lodge;08/06/2020;94;398;34;20752
Alletra Haven;08/06/2020;95;358;39;17597
dHCI Platinum Beach Resort;08/06/2020;88;179;30;30728
GreenLake Platinum Heritage Inn;08/06/2020;87;203;14;17917
Pointnext Signature Residences & Suites;08/06/2020;83;222;13;2152
ProLiant Place;08/06/2020;82;261;18;14759
Synergy Golden Grand Hotel;08/06/2020;87;326;38;29292
Alletra Resort;08/06/2020;87;319;57;22619
GreenLake Digital Business Suites;08/06/2020;91;397;76;24024
Apollo Resort & Spa;08/06/2020;89;231;44;17986
Nimble Inn;08/06/2020;85;340;39;14277
Ezmeral Grand Hotel;08/06/2020;72;146;25;22885
Alletra Boutique Hotel;08/06/2020;78;266;52;28242
Simplivity Golden Plaza Hotel;08/06/2020;87;181;36;16564
Cray Villas;08/06/2020;73;193;30;2248
Apollo Diamond Suites;08/06/2020;86;216;31;28319
Apollo Towers;08/06/2020;93;269;22;19397
Alletra Diamond Grand Hotel;09/06/2020;79;231;31;21314
ProLiant Towers;09/06/2020;88;254;43;23702
Aruba Luxury Lodge;09/06/2020;77;223;42;2426
InfoSight Boutique Hotel;09/06/2020;94;194;12;2289
Primera Grand;09/06/2020;86;357;50;17844
dHCI Executive Boutique Hotel;09/06/2020;81;163;14;23119
ProLiant Haven;09/06/2020;72;287;22;1283
Apollo Executive Beach Resort;09/06/2020;70;233;25;17463
Aruba Lodge;09/06/2020;85;171;26;15307
Alletra Haven;09/06/2020;91;379;50;18971
dHCI Platinum Beach Resort;09/06/2020;83;243;37;24495
GreenLake Platinum Heritage Inn;09/06/2020;74;324;63;26181
Pointnext Signature Residences & Suites;09/06/2020;86;298;38;26816
ProLiant Place;09/06/2020;72;254;33;20467
Synergy Golden Grand Hotel;09/06/2020;89;215;35;18429
Alletra Resort;09/06/2020;78;169;17;15018
GreenLake Digital Business Suites;09/06/2020;79;276;32;1421
Apollo Resort & Spa;09/06/2020;77;334;37;15719
Nimble Inn;09/06/2020;82;201;31;2276
Ezmeral Grand Hotel;09/06/2020;83;167;24;17824
Alletra Boutique Hotel;09/06/2020;91;433;83;22783
Simplivity Golden Plaza Hotel;09/06/2020;92;227;17;30655
Cray Villas;09/06/2020;70;153;8;23226
Apollo Diamond Suites;09/06/2020;83;412;53;1954
Apollo Towers;09/06/2020;84;201;31;26735
Alletra Diamond Grand Hotel;10/06/2020;95;348;28;21071
ProLiant Towers;10/06/2020;78;326;61;23021
Aruba Luxury Lodge;10/06/2020;95;419;51;29301
InfoSight Boutique Hotel;10/06/2020;81;330;20;27618
Primera Grand;10/06/2020;75;337;32;26921
dHCI Executive Boutique Hotel;10/06/2020;82;374;57;14854
ProLiant Haven;10/06/2020;83;244;26;20895
Apollo Executive Beach Resort;10/06/2020;80;270;45;14794
Aruba Lodge;10/06/2020;72;321;22;25696
Alletra Haven;10/06/2020;70;161;24;12248
dHCI Platinum Beach Resort;10/06/2020;80;310;51;16068
GreenLake Platinum Heritage Inn;10/06/2020;81;300;37;22653
Pointnext Signature Residences & Suites;10/06/2020;75;330;60;15236
ProLiant Place;10/06/2020;93;429;30;22864
Synergy Golden Grand Hotel;10/06/2020;72;219;34;25386
Alletra Resort;10/06/2020;77;197;35;22054
GreenLake Digital Business Suites;10/06/2020;90;318;28;14849
Apollo Resort & Spa;10/06/2020;86;279;35;25163
Nimble Inn;10/06/2020;91;370;47;31504
Ezmeral Grand Hotel;10/06/2020;94;190;16;19669
Alletra Boutique Hotel;10/06/2020;74;183;25;22249
Simplivity Golden Plaza Hotel;10/06/2020;85;307;25;27545
Cray Villas;10/06/2020;73;297;14;22695
Apollo Diamond Suites;10/06/2020;77;362;47;25427
Apollo Towers;10/06/2020;70;258;23;12664
Alletra Diamond Grand Hotel;11/06/2020;85;407;73;1936
ProLiant Towers;11/06/2020;79;355;66;2327
Aruba Luxury Lodge;11/06/2020;91;409;26;19634
InfoSight Boutique Hotel;11/06/2020;80;263;42;15369
Primera Grand;11/06/2020;81;271;33;23996
dHCI Executive Boutique Hotel;11/06/2020;95;360;50;26101
ProLiant Haven;11/06/2020;74;299;35;21308
Apollo Executive Beach Resort;11/06/2020;70;196;15;20465
Aruba Lodge;11/06/2020;72;311;51;2531
Alletra Haven;11/06/2020;86;369;60;20824
dHCI Platinum Beach Resort;11/06/2020;78;280;36;18734
GreenLake Platinum Heritage Inn;11/06/2020;83;312;60;1462
Pointnext Signature Residences & Suites;11/06/2020;92;237;45;26561
ProLiant Place;11/06/2020;85;395;46;25559
Synergy Golden Grand Hotel;11/06/2020;80;204;22;27767
Alletra Resort;11/06/2020;88;362;68;27679
GreenLake Digital Business Suites;11/06/2020;92;290;18;29925
Apollo Resort & Spa;11/06/2020;92;333;47;31222
Nimble Inn;11/06/2020;87;364;54;18307
Ezmeral Grand Hotel;11/06/2020;92;222;22;17215
Alletra Boutique Hotel;11/06/2020;84;357;43;19475
Simplivity Golden Plaza Hotel;11/06/2020;95;341;66;20919
Cray Villas;11/06/2020;80;169;19;17248
Apollo Diamond Suites;11/06/2020;87;194;31;27595
Apollo Towers;11/06/2020;93;430;84;24211
Alletra Diamond Grand Hotel;12/06/2020;82;272;52;24936
ProLiant Towers;12/06/2020;70;161;29;13581
Aruba Luxury Lodge;12/06/2020;88;229;27;21513
InfoSight Boutique Hotel;12/06/2020;78;352;21;2646
Primera Grand;12/06/2020;70;161;14;20728
dHCI Executive Boutique Hotel;12/06/2020;91;397;70;17955
ProLiant Haven;12/06/2020;93;234;34;31576
Apollo Executive Beach Resort;12/06/2020;79;161;17;17829
Aruba Lodge;12/06/2020;87;288;45;2754
Alletra Haven;12/06/2020;84;401;31;20297
dHCI Platinum Beach Resort;12/06/2020;75;258;21;13211
GreenLake Platinum Heritage Inn;12/06/2020;91;337;29;19897
Pointnext Signature Residences & Suites;12/06/2020;79;231;34;17376
ProLiant Place;12/06/2020;77;376;28;13668
Synergy Golden Grand Hotel;12/06/2020;93;448;25;31326
Alletra Resort;12/06/2020;80;231;32;21994
GreenLake Digital Business Suites;12/06/2020;73;252;42;22013
Apollo Resort & Spa;12/06/2020;71;308;37;25334
Nimble Inn;12/06/2020;88;339;52;26492
Ezmeral Grand Hotel;12/06/2020;89;349;68;25506
Alletra Boutique Hotel;12/06/2020;86;390;67;28924
Simplivity Golden Plaza Hotel;12/06/2020;82;273;16;13515
Cray Villas;12/06/2020;88;274;17;14498
Apollo Diamond Suites;12/06/2020;92;415;45;3204
Apollo Towers;12/06/2020;80;275;30;14103
Alletra Diamond Grand Hotel;13/06/2020;100;378;26;15517
ProLiant Towers;13/06/2020;98;482;48;15257
Aruba Luxury Lodge;13/06/2020;100;429;40;16474
InfoSight Boutique Hotel;13/06/2020;94;379;21;31462
Primera Grand;13/06/2020;100;468;58;23676
dHCI Executive Boutique Hotel;13/06/2020;100;206;13;21386
ProLiant Haven;13/06/2020;95;424;56;25225
Apollo Executive Beach Resort;13/06/2020;80;206;11;24909
Aruba Lodge;13/06/2020;100;412;64;15577
Alletra Haven;13/06/2020;100;255;38;19331
dHCI Platinum Beach Resort;13/06/2020;100;355;50;31618
GreenLake Platinum Heritage Inn;13/06/2020;82;323;59;21099
Pointnext Signature Residences & Suites;13/06/2020;92;319;45;19186
ProLiant Place;13/06/2020;93;427;42;29752
Synergy Golden Grand Hotel;13/06/2020;84;411;38;18153
Alletra Resort;13/06/2020;98;483;67;33862
GreenLake Digital Business Suites;13/06/2020;98;456;52;24135
Apollo Resort & Spa;13/06/2020;99;327;33;21607
Nimble Inn;13/06/2020;100;364;39;20986
Ezmeral Grand Hotel;13/06/2020;86;218;15;23367
Alletra Boutique Hotel;13/06/2020;89;321;22;25515
Simplivity Golden Plaza Hotel;13/06/2020;100;485;30;21917
Cray Villas;13/06/2020;90;320;62;1774
Apollo Diamond Suites;13/06/2020;79;288;35;19114
Apollo Towers;13/06/2020;93;204;18;31082
Alletra Diamond Grand Hotel;14/06/2020;100;332;38;23152
ProLiant Towers;14/06/2020;90;300;47;31172
Aruba Luxury Lodge;14/06/2020;78;171;22;2610
InfoSight Boutique Hotel;14/06/2020;87;300;40;20976
Primera Grand;14/06/2020;82;328;41;2176
dHCI Executive Boutique Hotel;14/06/2020;94;376;62;28132
ProLiant Haven;14/06/2020;80;239;37;23635
Apollo Executive Beach Resort;14/06/2020;92;331;31;17428
Aruba Lodge;14/06/2020;83;218;36;18786
Alletra Haven;14/06/2020;98;448;74;21584
dHCI Platinum Beach Resort;14/06/2020;79;173;31;23591
GreenLake Platinum Heritage Inn;14/06/2020;90;213;30;25549
Pointnext Signature Residences & Suites;14/06/2020;99;211;34;29391
ProLiant Place;14/06/2020;100;328;55;33415
Synergy Golden Grand Hotel;14/06/2020;89;401;68;27843
Alletra Resort;14/06/2020;85;173;28;19449
GreenLake Digital Business Suites;14/06/2020;91;295;16;32223
Apollo Resort & Spa;14/06/2020;100;310;55;1868
Nimble Inn;14/06/2020;85;358;32;20059
Ezmeral Grand Hotel;14/06/2020;91;224;33;27487
Alletra Boutique Hotel;14/06/2020;93;342;66;32306
Simplivity Golden Plaza Hotel;14/06/2020;86;201;26;16001
Cray Villas;14/06/2020;82;360;43;15239
Apollo Diamond Suites;14/06/2020;91;204;11;16705
Apollo Towers;14/06/2020;100;380;21;29396
Alletra Diamond Grand Hotel;15/06/2020;87;240;47;19182
ProLiant Towers;15/06/2020;80;246;37;16946
Aruba Luxury Lodge;15/06/2020;91;358;25;17385
InfoSight Boutique Hotel;15/06/2020;89;196;13;25691
Primera Grand;15/06/2020;72;262;45;15671
dHCI Executive Boutique Hotel;15/06/2020;82;306;48;17507
ProLiant Haven;15/06/2020;86;236;32;24628
Apollo Executive Beach Resort;15/06/2020;86;242;33;27583
Aruba Lodge;15/06/2020;85;222;30;26787
Alletra Haven;15/06/2020;80;282;46;19832
dHCI Platinum Beach Resort;15/06/2020;85;197;28;21426
GreenLake Platinum Heritage Inn;15/06/2020;90;218;40;21063
Pointnext Signature Residences & Suites;15/06/2020;89;318;32;23544
ProLiant Place;15/06/2020;89;371;52;20657
Synergy Golden Grand Hotel;15/06/2020;70;260;31;14778
Alletra Resort;15/06/2020;71;315;22;24093
GreenLake Digital Business Suites;15/06/2020;79;254;50;20832
Apollo Resort & Spa;15/06/2020;87;414;57;22395
Nimble Inn;15/06/2020;78;218;20;26964
Ezmeral Grand Hotel;15/06/2020;77;172;27;23239
Alletra Boutique Hotel;15/06/2020;95;229;43;25505
Simplivity Golden Plaza Hotel;15/06/2020;75;253;34;22782
Cray Villas;15/06/2020;71;267;17;13236
Apollo Diamond Suites;15/06/2020;74;156;30;13495
Apollo Towers;15/06/2020;90;206;14;26326
Alletra Diamond Grand Hotel;16/06/2020;81;181;19;17618
ProLiant Towers;16/06/2020;80;229;15;19203
Aruba Luxury Lodge;16/06/2020;80;199;16;13126
InfoSight Boutique Hotel;16/06/2020;94;339;63;23765
Primera Grand;16/06/2020;81;180;10;13849
dHCI Executive Boutique Hotel;16/06/2020;75;185;29;12899
ProLiant Haven;16/06/2020;77;220;39;20546
Apollo Executive Beach Resort;16/06/2020;79;214;24;27991
Aruba Lodge;16/06/2020;87;254;23;24763
Alletra Haven;16/06/2020;72;311;53;26445
dHCI Platinum Beach Resort;16/06/2020;74;196;16;26189
GreenLake Platinum Heritage Inn;16/06/2020;95;290;25;22985
Pointnext Signature Residences & Suites;16/06/2020;83;404;49;14215
ProLiant Place;16/06/2020;81;295;38;1435
Synergy Golden Grand Hotel;16/06/2020;83;386;35;18965
Alletra Resort;16/06/2020;89;290;20;18732
GreenLake Digital Business Suites;16/06/2020;72;340;51;24861
Apollo Resort & Spa;16/06/2020;74;226;44;26342
Nimble Inn;16/06/2020;86;330;26;24208
Ezmeral Grand Hotel;16/06/2020;92;240;29;16399
Alletra Boutique Hotel;16/06/2020;73;173;28;17116
Simplivity Golden Plaza Hotel;16/06/2020;70;279;32;12819
Cray Villas;16/06/2020;85;382;59;25918
Apollo Diamond Suites;16/06/2020;93;367;53;29955
Apollo Towers;16/06/2020;79;218;34;18328
Alletra Diamond Grand Hotel;17/06/2020;93;416;50;26466
ProLiant Towers;17/06/2020;84;185;15;15251
Aruba Luxury Lodge;17/06/2020;95;405;80;29708
InfoSight Boutique Hotel;17/06/2020;85;223;33;15719
Primera Grand;17/06/2020;75;237;22;21521
dHCI Executive Boutique Hotel;17/06/2020;95;312;26;32469
ProLiant Haven;17/06/2020;83;297;31;16848
Apollo Executive Beach Resort;17/06/2020;73;322;54;12513
Aruba Lodge;17/06/2020;81;296;30;24635
Alletra Haven;17/06/2020;74;231;35;22687
dHCI Platinum Beach Resort;17/06/2020;85;259;45;21845
GreenLake Platinum Heritage Inn;17/06/2020;72;274;29;14853
Pointnext Signature Residences & Suites;17/06/2020;93;187;15;28831
ProLiant Place;17/06/2020;75;359;45;25126
Synergy Golden Grand Hotel;17/06/2020;70;242;27;17799
Alletra Resort;17/06/2020;93;434;68;20021
GreenLake Digital Business Suites;17/06/2020;85;180;26;27514
Apollo Resort & Spa;17/06/2020;88;363;18;26717
Nimble Inn;17/06/2020;90;211;36;25935
Ezmeral Grand Hotel;17/06/2020;78;207;30;23895
Alletra Boutique Hotel;17/06/2020;81;262;20;1850
Simplivity Golden Plaza Hotel;17/06/2020;70;176;32;24069
Cray Villas;17/06/2020;86;293;44;30121
Apollo Diamond Suites;17/06/2020;71;256;18;13915
Apollo Towers;17/06/2020;71;218;15;14469
Alletra Diamond Grand Hotel;18/06/2020;87;327;44;19953
ProLiant Towers;18/06/2020;94;201;27;1497
Aruba Luxury Lodge;18/06/2020;83;261;46;15234
InfoSight Boutique Hotel;18/06/2020;70;321;29;24087
Primera Grand;18/06/2020;75;209;25;17787
dHCI Executive Boutique Hotel;18/06/2020;88;338;21;15943
ProLiant Haven;18/06/2020;85;218;12;20167
Apollo Executive Beach Resort;18/06/2020;80;173;19;21494
Aruba Lodge;18/06/2020;93;326;38;22291
Alletra Haven;18/06/2020;71;180;34;14895
dHCI Platinum Beach Resort;18/06/2020;83;170;29;19083
GreenLake Platinum Heritage Inn;18/06/2020;74;300;55;17436
Pointnext Signature Residences & Suites;18/06/2020;82;366;70;15277
ProLiant Place;18/06/2020;84;365;70;29077
Synergy Golden Grand Hotel;18/06/2020;92;369;27;3090
Alletra Resort;18/06/2020;72;286;54;20961
GreenLake Digital Business Suites;18/06/2020;78;338;49;17698
Apollo Resort & Spa;18/06/2020;79;248;27;20276
Nimble Inn;18/06/2020;94;367;54;27779
Ezmeral Grand Hotel;18/06/2020;83;318;60;17916
Alletra Boutique Hotel;18/06/2020;92;323;16;14293
Simplivity Golden Plaza Hotel;18/06/2020;70;315;20;22641
Cray Villas;18/06/2020;84;234;27;17957
Apollo Diamond Suites;18/06/2020;93;213;34;18769
Apollo Towers;18/06/2020;95;240;46;17298
Alletra Diamond Grand Hotel;19/06/2020;93;448;68;2713
ProLiant Towers;19/06/2020;77;265;44;26615
Aruba Luxury Lodge;19/06/2020;90;377;68;17763
InfoSight Boutique Hotel;19/06/2020;77;216;12;17972
Primera Grand;19/06/2020;73;249;27;19043
dHCI Executive Boutique Hotel;19/06/2020;83;414;47;14002
ProLiant Haven;19/06/2020;90;193;10;20327
Apollo Executive Beach Resort;19/06/2020;72;328;22;2512
Aruba Lodge;19/06/2020;75;294;26;21626
Alletra Haven;19/06/2020;77;297;42;15874
dHCI Platinum Beach Resort;19/06/2020;79;278;37;17406
GreenLake Platinum Heritage Inn;19/06/2020;74;235;32;22391
Pointnext Signature Residences & Suites;19/06/2020;77;173;16;23469
ProLiant Place;19/06/2020;90;274;35;25673
Synergy Golden Grand Hotel;19/06/2020;86;296;36;19422
Alletra Resort;19/06/2020;80;183;28;14754
GreenLake Digital Business Suites;19/06/2020;94;250;39;16953
Apollo Resort & Spa;19/06/2020;76;263;39;2077
Nimble Inn;19/06/2020;78;215;28;22756
Ezmeral Grand Hotel;19/06/2020;70;162;12;19583
Alletra Boutique Hotel;19/06/2020;77;271;42;2665
Simplivity Golden Plaza Hotel;19/06/2020;79;360;47;17777
Cray Villas;19/06/2020;89;238;45;27069
Apollo Diamond Suites;19/06/2020;80;268;16;26789
Apollo Towers;19/06/2020;84;230;40;21584
Alletra Diamond Grand Hotel;20/06/2020;77;164;17;18885
ProLiant Towers;20/06/2020;90;393;68;22755
Aruba Luxury Lodge;20/06/2020;87;324;20;14362
InfoSight Boutique Hotel;20/06/2020;85;212;31;21454
Primera Grand;20/06/2020;97;370;52;14705
dHCI Executive Boutique Hotel;20/06/2020;97;281;35;26655
ProLiant Haven;20/06/2020;87;333;34;20711
Apollo Executive Beach Resort;20/06/2020;79;352;62;15853
Aruba Lodge;20/06/2020;95;436;67;33253
Alletra Haven;20/06/2020;93;306;25;24755
dHCI Platinum Beach Resort;20/06/2020;82;307;30;29414
GreenLake Platinum Heritage Inn;20/06/2020;100;259;50;26565
Pointnext Signature Residences & Suites;20/06/2020;87;338;37;23772
ProLiant Place;20/06/2020;100;321;47;21395
Synergy Golden Grand Hotel;20/06/2020;95;313;27;20526
Alletra Resort;20/06/2020;92;448;85;26482
GreenLake Digital Business Suites;20/06/2020;82;171;29;25792
Apollo Resort & Spa;20/06/2020;100;399;40;21863
Nimble Inn;20/06/2020;100;216;17;31662
Ezmeral Grand Hotel;20/06/2020;92;367;57;28499
Alletra Boutique Hotel;20/06/2020;92;356;68;18873
Simplivity Golden Plaza Hotel;20/06/2020;93;213;38;15029
Cray Villas;20/06/2020;96;434;40;25304
Apollo Diamond Suites;20/06/2020;95;452;83;30342
Apollo Towers;20/06/2020;87;363;27;21578
Alletra Diamond Grand Hotel;21/06/2020;100;351;28;15942
ProLiant Towers;21/06/2020;100;387;30;33795
Aruba Luxury Lodge;21/06/2020;92;443;28;26384
InfoSight Boutique Hotel;21/06/2020;84;281;18;13514
Primera Grand;21/06/2020;84;211;41;21656
dHCI Executive Boutique Hotel;21/06/2020;88;193;18;21808
ProLiant Haven;21/06/2020;84;287;40;21833
Apollo Executive Beach Resort;21/06/2020;100;201;33;15565
Aruba Lodge;21/06/2020;76;203;11;2534
Alletra Haven;21/06/2020;97;403;36;25323
dHCI Platinum Beach Resort;21/06/2020;79;375;23;24381
GreenLake Platinum Heritage Inn;21/06/2020;92;341;22;26353
Pointnext Signature Residences & Suites;21/06/2020;93;347;41;23452
ProLiant Place;21/06/2020;83;237;34;25097
Synergy Golden Grand Hotel;21/06/2020;89;278;35;30271
Alletra Resort;21/06/2020;90;331;60;20719
GreenLake Digital Business Suites;21/06/2020;100;363;63;19127
Apollo Resort & Spa;21/06/2020;92;355;41;23168
Nimble Inn;21/06/2020;86;420;27;22464
Ezmeral Grand Hotel;21/06/2020;99;377;58;26958
Alletra Boutique Hotel;21/06/2020;83;362;30;21968
Simplivity Golden Plaza Hotel;21/06/2020;85;258;17;21492
Cray Villas;21/06/2020;100;313;57;17712
Apollo Diamond Suites;21/06/2020;93;376;51;21462
Apollo Towers;21/06/2020;100;461;73;34562
